Metric,Value
Number of classes,290
Number of object properties,78
Number of data properties,18
Total number of properties,80
Number of individuals,50
Maximum hierarchy depth,2
Average hierarchy breadth,0.2
Attribute richness,0.25
Relationship density,0.28
